Year,Qtr,Area Type,St Name,Area,Ownership,Industry,Status Code,Establishment Count,April Employment,May Employment,June Employment,Total Quarterly Wages,Average Weekly Wage,Employment Location Quotient Relative to U.S.,Total Wage Location Quotient Relative to U.S.
2023,2,State,Illinois,Illinois -- Statewide,Total Covered,"10 Total, all industries",,"410,791","5,970,979","6,019,498","6,101,227","106,403,255,301","1,357",1.00,1.00
2023,2,State,Illinois,Illinois -- Statewide,Federal Government,"10 Total, all industries",,"2,141","80,004","80,140","80,491","1,820,702,233","1,746",0.69,0.65
2023,2,State,Illinois,Illinois -- Statewide,State Government,"10 Total, all industries",,193,"115,815","115,514","114,155","2,263,647,253","1,512",0.62,0.65
2023,2,State,Illinois,Illinois -- Statewide,Local Government,"10 Total, all industries",,"6,372","585,807","595,074","605,915","9,453,481,510","1,221",1.07,1.02
2023,2,State,Illinois,Illinois -- Statewide,Private,"10 Total, all industries",,"402,085","5,189,353","5,228,770","5,300,666","92,865,424,305","1,363",1.01,1.02
2023,2,State,Illinois,Illinois -- Statewide,Private,101 Goods-producing,,"56,347","834,769","841,522","857,177","16,671,022,837","1,519",0.94,0.96
2023,2,State,Illinois,Illinois -- Statewide,Private,1011 Natural resources and mining,,"3,230","26,131","26,721","27,293","403,766,158","1,163",0.35,0.33
2023,2,State,Illinois,Illinois -- Statewide,Private,1012 Construction,,"33,546","232,672","239,472","248,113","4,954,008,896","1,587",0.77,0.84
2023,2,State,Illinois,Illinois -- Statewide,Private,1013 Manufacturing,,"19,571","575,966","575,329","581,771","11,313,247,783","1,506",1.14,1.11
2023,2,State,Illinois,Illinois -- Statewide,Private,102 Service-providing,,"345,738","4,354,584","4,387,248","4,443,489","76,194,401,468","1,334",1.03,1.04
2023,2,State,Illinois,Illinois -- Statewide,Private,"1021 Trade, transportation, and utilities",,"81,247","1,199,280","1,206,025","1,213,946","18,651,199,903","1,189",1.07,1.13
2023,2,State,Illinois,Illinois -- Statewide,Private,1022 Information,,"10,054","95,230","94,933","94,519","2,942,086,131","2,385",0.80,0.67
2023,2,State,Illinois,Illinois -- Statewide,Private,1023 Financial activities,,"34,905","377,139","377,210","383,604","10,883,662,962","2,207",1.11,1.22
2023,2,State,Illinois,Illinois -- Statewide,Private,1024 Professional and business services,,"86,863","950,030","953,233","964,641","21,564,083,228","1,735",1.07,1.03
2023,2,State,Illinois,Illinois -- Statewide,Private,1025 Education and health services,,"42,444","947,159","949,713","953,620","14,564,340,884","1,179",0.99,0.98
2023,2,State,Illinois,Illinois -- Statewide,Private,1026 Leisure and hospitality,,"34,208","582,087","601,534","623,069","4,794,263,413",612,0.92,0.93
2023,2,State,Illinois,Illinois -- Statewide,Private,1027 Other services,,"36,669","202,507","203,373","208,807","2,780,322,725","1,044",1.14,1.22
2023,2,State,Illinois,Illinois -- Statewide,Private,1029 Unclassified,,"19,348","1,152","1,227","1,283","14,442,222",910,0.08,0.05
2023,2,County,Illinois,"Adams County, Illinois",Total Covered,"10 Total, all industries",,"1,763","32,384","32,411","32,553","413,563,275",980,1.00,1.00
2023,2,County,Illinois,"Adams County, Illinois",Federal Government,"10 Total, all industries",,24,238,232,233,"4,067,142","1,335",0.38,0.37
2023,2,County,Illinois,"Adams County, Illinois",State Government,"10 Total, all industries",N,1,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Adams County, Illinois",Local Government,"10 Total, all industries",N,59,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Adams County, Illinois",Private,"10 Total, all industries",,"1,679","28,521","28,527","28,729","370,604,709",997,1.03,1.05
2023,2,County,Illinois,"Adams County, Illinois",Private,101 Goods-producing,,335,"6,356","6,274","6,358","99,534,682","1,210",1.31,1.48
2023,2,County,Illinois,"Adams County, Illinois",Private,1011 Natural resources and mining,,29,422,404,400,"6,022,213","1,134",0.97,1.27
2023,2,County,Illinois,"Adams County, Illinois",Private,1012 Construction,,219,"1,228","1,237","1,279","17,604,192","1,085",0.75,0.77
2023,2,County,Illinois,"Adams County, Illinois",Private,1013 Manufacturing,,87,"4,706","4,633","4,679","75,908,277","1,250",1.71,1.91
2023,2,County,Illinois,"Adams County, Illinois",Private,102 Service-providing,,"1,344","22,165","22,253","22,371","271,070,027",937,0.97,0.95
2023,2,County,Illinois,"Adams County, Illinois",Private,"1021 Trade, transportation, and utilities",,394,"6,884","6,911","6,917","73,619,322",820,1.15,1.14
2023,2,County,Illinois,"Adams County, Illinois",Private,1022 Information,,24,285,283,266,"3,780,949","1,046",0.42,0.22
2023,2,County,Illinois,"Adams County, Illinois",Private,1023 Financial activities,,151,"1,906","1,911","1,907","27,048,347","1,090",1.03,0.78
2023,2,County,Illinois,"Adams County, Illinois",Private,1024 Professional and business services,,243,"1,635","1,601","1,612","21,514,678","1,024",0.34,0.26
2023,2,County,Illinois,"Adams County, Illinois",Private,1025 Education and health services,,160,"7,117","7,132","7,086","117,648,852","1,273",1.38,2.03
2023,2,County,Illinois,"Adams County, Illinois",Private,1026 Leisure and hospitality,,183,"3,149","3,216","3,336","16,249,848",387,0.93,0.81
2023,2,County,Illinois,"Adams County, Illinois",Private,1027 Other services,,182,"1,179","1,190","1,237","11,168,521",715,1.27,1.26
2023,2,County,Illinois,"Adams County, Illinois",Private,1029 Unclassified,,7,10,9,10,"39,510",314,0.12,0.04
2023,2,County,Illinois,"Alexander County, Illinois",Total Covered,"10 Total, all industries",,93,808,820,835,"9,499,262",890,1.00,1.00
2023,2,County,Illinois,"Alexander County, Illinois",Federal Government,"10 Total, all industries",,7,19,18,19,"289,257","1,192",1.20,1.16
2023,2,County,Illinois,"Alexander County, Illinois",Local Government,"10 Total, all industries",,13,217,217,216,"2,920,638","1,037",2.79,3.52
2023,2,County,Illinois,"Alexander County, Illinois",Private,"10 Total, all industries",,73,572,585,600,"6,289,367",826,0.84,0.78
2023,2,County,Illinois,"Alexander County, Illinois",Private,101 Goods-producing,,16,138,140,143,"1,840,036","1,009",1.15,1.19
2023,2,County,Illinois,"Alexander County, Illinois",Private,1011 Natural resources and mining,N,8,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Alexander County, Illinois",Private,1012 Construction,N,4,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Alexander County, Illinois",Private,1013 Manufacturing,,4,103,102,104,"1,444,426","1,079",1.48,1.58
2023,2,County,Illinois,"Alexander County, Illinois",Private,102 Service-providing,,57,434,445,457,"4,449,331",769,0.77,0.68
2023,2,County,Illinois,"Alexander County, Illinois",Private,"1021 Trade, transportation, and utilities",,27,274,288,303,"3,324,051",887,1.96,2.25
2023,2,County,Illinois,"Alexander County, Illinois",Private,1023 Financial activities,,4,19,19,20,"157,218",626,0.42,0.20
2023,2,County,Illinois,"Alexander County, Illinois",Private,1024 Professional and business services,,7,14,14,17,"132,482",679,0.14,0.07
2023,2,County,Illinois,"Alexander County, Illinois",Private,1025 Education and health services,,5,63,59,60,"554,957",704,0.46,0.42
2023,2,County,Illinois,"Alexander County, Illinois",Private,1026 Leisure and hospitality,,9,50,51,43,"233,153",374,0.46,0.51
2023,2,County,Illinois,"Alexander County, Illinois",Private,1027 Other services,,5,14,14,14,"47,470",261,0.56,0.23
2023,2,County,Illinois,"Bond County, Illinois",Total Covered,"10 Total, all industries",,311,"4,525","4,485","4,438","52,324,083",898,1.00,1.00
2023,2,County,Illinois,"Bond County, Illinois",Federal Government,"10 Total, all industries",,10,301,302,298,"6,968,142","1,785",3.54,5.08
2023,2,County,Illinois,"Bond County, Illinois",Local Government,"10 Total, all industries",,20,650,659,691,"6,698,505",773,1.68,1.47
2023,2,County,Illinois,"Bond County, Illinois",Private,"10 Total, all industries",,281,"3,574","3,524","3,449","38,657,436",846,0.91,0.87
2023,2,County,Illinois,"Bond County, Illinois",Private,101 Goods-producing,,67,"1,012","1,025","1,057","14,563,033","1,086",1.60,1.71
2023,2,County,Illinois,"Bond County, Illinois",Private,1011 Natural resources and mining,,15,113,115,123,"586,965",386,2.19,0.98
2023,2,County,Illinois,"Bond County, Illinois",Private,1012 Construction,,35,133,150,164,"2,308,645","1,192",0.70,0.79
2023,2,County,Illinois,"Bond County, Illinois",Private,1013 Manufacturing,,17,766,760,770,"11,667,423","1,173",2.07,2.32
2023,2,County,Illinois,"Bond County, Illinois",Private,102 Service-providing,,214,"2,562","2,499","2,392","24,094,403",746,0.76,0.67
2023,2,County,Illinois,"Bond County, Illinois",Private,"1021 Trade, transportation, and utilities",,62,956,958,970,"11,376,149",910,1.18,1.40
2023,2,County,Illinois,"Bond County, Illinois",Private,1022 Information,N,3,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Bond County, Illinois",Private,1023 Financial activities,,21,145,145,150,"1,918,454","1,006",0.60,0.44
2023,2,County,Illinois,"Bond County, Illinois",Private,1024 Professional and business services,,38,157,152,164,"2,194,609","1,071",0.25,0.21
2023,2,County,Illinois,"Bond County, Illinois",Private,1025 Education and health services,,25,743,674,538,"5,465,522",645,0.77,0.75
2023,2,County,Illinois,"Bond County, Illinois",Private,1026 Leisure and hospitality,,41,420,429,423,"1,861,381",338,0.86,0.73
2023,2,County,Illinois,"Bond County, Illinois",Private,1027 Other services,N,24,0,0,0,0,0,0.00,0.00
