"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"Industry-by-Industry Total Requirements, After Redefinitions - Summary"

,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
,Industry Description,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,1.3248144,0.0290343,0.0019204,0.0029105,0.0014841,0.0012145,0.0040487,0.0198318,0.0048282,0.0028009,0.0025629,0.0023408,0.0009025,0.0027509,0.0042763,0.0014457,0.0073054,0.0058695,0.4261929,0.0507796,0.0138018,0.0095181,0.0078803,0.0049209,0.0454429,0.0169520,0.0020852,0.0020672,0.0035565,0.0021050,0.0018771,0.0028598,0.0020179,0.0033220,0.0014791,0.0011654,0.0006477,0.0016233,0.0011204,0.0009959,0.0014223,0.0012558,0.0017073,0.0011368,0.0012845,0.0005398,0.0009019,0.0002421,0.0030131,0.0016317,0.0008562,0.0014006,0.0040473,0.0014880,0.0033658,0.0024236,0.0072382,0.0037650,0.0057540,0.0098537,0.0287789,0.0030475,0.0126977,0.0092994,0.0386211,0.0019251,0.0036744,0.0008910,0.0036161,0.0174985,0.0025711
113FF,"Forestry, fishing, and related activities",0.0683194,1.1524110,0.0005295,0.0026001,0.0007234,0.0005103,0.0051309,0.1343044,0.0017724,0.0022175,0.0014387,0.0017454,0.0006048,0.0023740,0.0032367,0.0008742,0.0183565,0.0047311,0.0324245,0.0041072,0.0101637,0.0305611,0.0049350,0.0008170,0.0038489,0.0121161,0.0012183,0.0005439,0.0044475,0.0006935,0.0009011,0.0007324,0.0065732,0.0007006,0.0007171,0.0008619,0.0003113,0.0008302,0.0006084,0.0004412,0.0005769,0.0007205,0.0009572,0.0004375,0.0005191,0.0002621,0.0003476,0.0002134,0.0018011,0.0009310,0.0003545,0.0005146,0.0011027,0.0005674,0.0010102,0.0009416,0.0011122,0.0008965,0.0012212,0.0014827,0.0033143,0.0006093,0.0032206,0.0035889,0.0102304,0.0009173,0.0006987,0.0006529,0.0008872,0.0040449,0.0016480
211,Oil and gas extraction,0.0246960,0.0120038,1.1176576,0.0328763,0.0121297,0.0761047,0.0238164,0.0166355,0.0175590,0.0196293,0.0131062,0.0105276,0.0034975,0.0127947,0.0132662,0.0062795,0.0144824,0.0129331,0.0173016,0.0253626,0.0067168,0.0215456,0.0163912,0.6404890,0.0370102,0.0299099,0.0083906,0.0066422,0.0096160,0.0080563,0.0091871,0.1096593,0.0451151,0.0544598,0.0495319,0.0186712,0.0075368,0.0402514,0.0265711,0.0060249,0.0049448,0.0052486,0.0062238,0.0056113,0.0087103,0.0014735,0.0068571,0.0012609,0.0117525,0.0085305,0.0026900,0.0049073,0.0056918,0.0052068,0.0095729,0.0179712,0.0120155,0.0068558,0.0082649,0.0088719,0.0083635,0.0053866,0.0111544,0.0074951,0.0105688,0.0074366,0.0234834,0.0076866,0.0303627,0.0463780,0.1031834
212,"Mining, except oil and gas",0.0057999,0.0012400,0.0047608,1.0791333,0.0029015,0.0133494,0.0157037,0.0038332,0.0872089,0.0661107,0.0223606,0.0130451,0.0026392,0.0161662,0.0136537,0.0052212,0.0079332,0.0066829,0.0051526,0.0064799,0.0015128,0.0117887,0.0037261,0.0091316,0.0115003,0.0084294,0.0013853,0.0011628,0.0017067,0.0015783,0.0016672,0.0028038,0.0037356,0.0026335,0.0021369,0.0014565,0.0015059,0.0019701,0.0017329,0.0009410,0.0014080,0.0024404,0.0045153,0.0007917,0.0015561,0.0004093,0.0010064,0.0005601,0.0024005,0.0015786,0.0006266,0.0010740,0.0025339,0.0011530,0.0028081,0.0040636,0.0028665,0.0016333,0.0020043,0.0017671,0.0024577,0.0035380,0.0068528,0.0022034,0.0027935,0.0036606,0.0021960,0.0089683,0.0017128,0.0032647,0.0174492
213,Support activities for mining,0.0010228,0.0004626,0.0392850,0.0222040,1.0158541,0.0029544,0.0013492,0.0007880,0.0023996,0.0021046,0.0013002,0.0009029,0.0002592,0.0010967,0.0009825,0.0005160,0.0009118,0.0007113,0.0008046,0.0010957,0.0002963,0.0011426,0.0007269,0.0226621,0.0015859,0.0013680,0.0003456,0.0002736,0.0003913,0.0003321,0.0003809,0.0039375,0.0017044,0.0020820,0.0018201,0.0007143,0.0003838,0.0014820,0.0010071,0.0002488,0.0002141,0.0002933,0.0003399,0.0002233,0.0003527,0.0000659,0.0002715,0.0000625,0.0004905,0.0003648,0.0001153,0.0002251,0.0003025,0.0002289,0.0004195,0.0008443,0.0004969,0.0002883,0.0003549,0.0003639,0.0003950,0.0002702,0.0005549,0.0003416,0.0004586,0.0003752,0.0009249,0.0004748,0.0011279,0.0017254,0.0040713
22,Utilities,0.0279712,0.0057908,0.0346057,0.0436582,0.0069863,1.0676810,0.0158368,0.0227395,0.0395589,0.0393229,0.0278688,0.0191073,0.0085424,0.0204056,0.0231709,0.0194293,0.0219396,0.0148283,0.0238733,0.0348732,0.0087043,0.0460959,0.0281676,0.0380453,0.0267397,0.0356510,0.0138150,0.0167007,0.0442984,0.0387344,0.0260064,0.0188899,0.0082737,0.0126024,0.0202320,0.0093582,0.0242917,0.0126753,0.0214873,0.0063545,0.0086240,0.0147361,0.0154313,0.0055551,0.0079772,0.0026652,0.0098302,0.0016010,0.0306361,0.0095613,0.0057941,0.0054504,0.0084735,0.0131427,0.0100822,0.0200257,0.0167861,0.0088075,0.0155485,0.0201045,0.0124151,0.0102508,0.0253334,0.0248886,0.0299850,0.0152399,0.0098560,0.0087021,0.0289842,0.0182244,0.0204014
23,Construction,0.0093222,0.0027612,0.0066795,0.0400326,0.0147347,0.0188526,1.0061444,0.0090019,0.0181253,0.0170410,0.0129579,0.0093667,0.0039474,0.0088657,0.0101005,0.0061563,0.0093682,0.0076179,0.0096241,0.0105320,0.0044475,0.0158571,0.0112806,0.0145378,0.0082809,0.0118875,0.0080816,0.0093889,0.0137769,0.0173394,0.0136789,0.0078322,0.0335189,0.0077414,0.0105377,0.0111873,0.0113232,0.0113502,0.0124197,0.0038325,0.0051437,0.0084270,0.0075222,0.0094084,0.0095013,0.0030140,0.0058757,0.0284257,0.0438393,0.0093582,0.0047624,0.0032509,0.0069663,0.0073421,0.0065789,0.0101133,0.0073828,0.0050273,0.0092281,0.0110451,0.0092915,0.0070840,0.0126814,0.0210994,0.0114451,0.0116735,0.0199222,0.0077695,0.0114540,0.0209510,0.1683366
321,Wood products,0.0048101,0.0038983,0.0022170,0.0080940,0.0043115,0.0025141,0.0439212,1.3076931,0.0069249,0.0126373,0.0070667,0.0089257,0.0033829,0.0146310,0.0181015,0.0044782,0.1526752,0.0175888,0.0059627,0.0057321,0.0024801,0.0498514,0.0080454,0.0027295,0.0034843,0.0175635,0.0068004,0.0024276,0.0060882,0.0032359,0.0045904,0.0018148,0.0617682,0.0024918,0.0036536,0.0025800,0.0014864,0.0032970,0.0032570,0.0015997,0.0028159,0.0038651,0.0057842,0.0015320,0.0019247,0.0007701,0.0012101,0.0016093,0.0114859,0.0047603,0.0013378,0.0014298,0.0028539,0.0018788,0.0038573,0.0037013,0.0022439,0.0024263,0.0036106,0.0027558,0.0073167,0.0020426,0.0047248,0.0065831,0.0043554,0.0041277,0.0024292,0.0025225,0.0024632,0.0052685,0.0110228
327,Nonmetallic mineral products,0.0023274,0.0009016,0.0069544,0.0100033,0.0067847,0.0023825,0.0468413,0.0105683,1.1233586,0.0165042,0.0105286,0.0102143,0.0023295,0.0198248,0.0222255,0.0039977,0.0088626,0.0080046,0.0060086,0.0036223,0.0019803,0.0063220,0.0028481,0.0073828,0.0042268,0.0122298,0.0016310,0.0020658,0.0019405,0.0017328,0.0025356,0.0023228,0.0035729,0.0024371,0.0025189,0.0016243,0.0013214,0.0019738,0.0022316,0.0009974,0.0010507,0.0052680,0.0032125,0.0010488,0.0015157,0.0005957,0.0009756,0.0014962,0.0034192,0.0038584,0.0007576,0.0014869,0.0044591,0.0013240,0.0025545,0.0053549,0.0013714,0.0032159,0.0044146,0.0021388,0.0044466,0.0011905,0.0026504,0.0023791,0.0042172,0.0040386,0.0025204,0.0032466,0.0020108,0.0033338,0.0189171
